vira_kod,vira_txt
0,
1,Bez náboženské víry
2,Apoštolská církev
3,Bratrská jednota baptistů
4,Církev adventistů sedmého dne
5,Církev bratrská
6,Církev československá husitská
7,Církev Ježíše Krista Svatých posledních dnů v České republice
8,Církev řeckokatolická
9,Církev římskokatolická
10,Českobratrská církev evangelická
11,Evangelická církev augsburského vyznání v České republice
12,Evangelická církev metodistická
13,Federace židovských obcí v České republice
14,Jednota bratrská
15,Křesťanské sbory
16,Luterská evangelická církev a. v. v České republice
17,Náboženská společnost českých unitářů
18,Náboženská společnost Svědkové Jehovovi
19,Novoapoštolská církev v ČR
20,Pravoslavná církev v českých zemích
21,Slezská církev evangelická augsburského vyznání
22,Starokatolická církev v ČR
23,Církev sjednocení (moonisté)
24,Scientologická církev
25,Církev Křesťanská společenství
26,Anglikánská církev
27,islám
28,buddhismus
29,hinduismus
30,"Mezinárodní společnost pro vědomí Krišny, Hnutí Hare Krišna"
31,Jiné
32,Buddhismus Diamantové cesty linie Karma Kagjü
33,Církev živého Boha
34,Česká hinduistická náboženská společnost
35,Obec křesťanů v České republice
36,"Ruská pravoslavná církev, podvorje patriarchy moskevského a celé Rusi v České republice"
37,Ústředí muslimských obcí
38,Višva Nirmala Dharma
39,Hnutí Grálu
40,Hnutí Nového věku (New Age)
41,katolická víra (katolík)
42,"protestantská/evangelická víra (protestant, evangelík)"
43,křesťanství
44,judaismus
45,esoterismus
46,věřící - nehlásící se k žádné církvi ani náboženské společnosti
47,Církev Nová naděje
48,Církev Slovo života
49,Jedi
50,ateismus
51,pohanství
52,Sith
53,Církev víry
54,Církev Svatého Řehoře Osvětitele
55,Armáda spásy - církev
56,Církev Nový Život
57,Církev Oáza
58,Společenství Josefa Zezulky
59,Kněžské bratrstvo svatého Pia X.
60,Théravádový buddhismus
61,Společenství baptistických sborů
62,Společenství buddhismu v České republice
63,Křesťanská církev essejská
64,pastafariánství
66,satanismus
67,agnosticismus
68,animismus
69,baháismus
70,deismus
71,konfucianismus
72,sikhismus
73,šintoismus
74,taoismus
75,zoroastrismus
76,druidismus
77,rastafariánství
78,věřící - hlásící se k církvi - název neuveden
99,Neuvedeno
